username,postsCount,followersCount,followsCount,private,verified,account
rishi_playboy6,1,54,201,0,0,0
im_arjun.24,5,34,1470,0,0,0
fapti.me6,0,12,119,0,0,0
rajapkshaasanka,0,34,1364,1,0,0
telugu.confessions007,3,217,679,0,0,0
devv.pvt05,15,207,254,1,0,0
sony12892024,0,2,30,1,0,0
mood_y2025,0,13,57,0,0,0
malli995972,0,38,2089,0,0,0
pandu__gadu6,1,9,135,0,0,0
ithe5123,0,4,87,1,0,0
xavidavid6566,0,0,879,1,0,0
thirumala_007,34,182,899,1,0,0
k092_5,3,10,2376,1,0,0
chjohn721,0,5,124,1,0,0
_aish__28__,1,12,46,1,0,0
starboy08468,0,0,352,1,0,0
sudham069,0,61,307,0,0,0
omg_333_hot,5,1,43,0,0,0
resh.mi6971,0,247,3620,1,0,0
mathsyagiri_443,0,1,384,1,0,0
dirty_talks_only004567,0,26,238,1,0,0
iqvenkat23_,0,9,960,0,0,0
vikaknl,0,11,1613,0,0,0
rakiisshhh,0,0,107,1,0,0
vijay_loverboiii321,0,9,118,0,0,0
telugu_swaroopa,0,542,780,0,0,0
tej_0530,0,55,613,0,0,0
it.s_urpavrati,0,50,499,0,0,0
hajala188,0,9,42,0,0,0
amarnaath32,0,0,94,1,0,0
telugunaughtyboy_23,0,212,5395,0,0,0
sivashriram1972,0,16,4024,1,0,0
warrior9xm,1,50,543,0,0,0
smah_rehctub,0,0,231,1,0,0
ps4_gaming96,4,0,2968,1,0,0
chetna6541,0,34,7443,1,0,0
9854_shalini,0,61,736,0,0,0
nightcat3070,0,63,484,0,0,0
s19692022,3,8,258,0,0,0
manisha14k,0,961,7552,1,0,0
iftikharali5554,0,37,1228,0,0,0
0007_friends,0,37,618,1,0,0
simghgal,0,0,59,1,0,0
nallamillsomireddyram,49,179,4288,1,0,0
silent_killer__kid_,70,107,850,1,0,0
rj_18_brother_jhunjhunu,128,431,7516,0,0,0
atkonntt,1,159,875,0,0,0
fa_th_im_a_786,0,0,52,1,0,0
chandrashekharreddy770,0,1,657,1,0,0
maha.ra608,0,12,422,1,0,0
be_ast5832,0,559,1521,0,0,0
shwe.tha2214,0,20,449,1,0,0
arjunraj4043,0,6,113,1,0,0
sjusmsjskennddn,0,8,72,0,0,0
cris.topherdl,0,318,3728,0,0,0
samanta.si6,63,129,1489,0,0,0
annie_ans,0,72,472,1,0,0
gkumar448,0,13,55,0,0,0
nishanth___reddy,1,120,1595,0,0,0
bbb0.82,0,24,1319,1,0,0
e.nky7584,0,23,1445,1,0,0
ravi.dodda1,0,15,678,1,0,0
